X,Y,OBJECTID,created_date,created_user,src_geo,clc_quartier,clc_secteur,id_arbre,haut_tot,haut_tronc,tronc_diam,fk_arb_etat,fk_stadedev,fk_port,fk_pied,fk_situation,fk_revetement,commentaire_environnement,dte_plantation,age_estim,fk_prec_estim,clc_nbr_diag,dte_abattage,fk_nomtech,last_edited_user,last_edited_date,villeca,nomfrancais,nomlatin,GlobalID,CreationDate,Creator,EditDate,Editor,feuillage,remarquable
1719528.5977,8294820.1389,2731,2017/02/02 15:27:57+00,mickael.delaere,Orthophoto,Quartier Saint-Jean,Rue Emilie et Raymond Pierret,39,6.0,2.0,38.0,EN PLACE,jeune,semi libre,Bande de terre,Alignement,Non,RAS,,15.0,5.0,0.0,,TILCOR,mickael.delaere,2017/02/02 15:27:57+00,VILLE,TILCOR,TILCOR,{21710BE3-87D3-4203-AD16-9FFFA284C79D},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721973.6965,8295816.555,7086,2017/02/02 15:28:16+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Rue Laplace,29,8.0,3.0,118.0,EN PLACE,adulte,réduit relâché,fosse arbre,Alignement,Oui,RAS,,30.0,10.0,0.0,,ACEPLA,mickael.delaere,2017/02/02 15:28:16+00,VILLE,ACEPLA,ACEPLA,{CD3AD76E-B03C-4025-83B3-4E32077F9D34},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719239.1655,8294162.4236,6272,2017/02/02 15:28:13+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Rue du Commandant Charcot,6,8.0,2.0,55.0,EN PLACE,adulte,semi libre,gazon,Isolé,Non,RAS,,20.0,5.0,0.0,,PYRCAL,mickael.delaere,2017/02/02 15:28:13+00,VILLE,PYRCAL,PYRCAL,{E6ADCDEF-694D-4187-9553-A931AD923CD7},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719360.7297,8295095.7057,8836,2017/02/02 15:28:18+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Rue Paul Codos,14,7.0,3.0,84.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,15.0,2.0,,,PINNIGnig,mickael.delaere,2017/02/02 15:28:18+00,CASQ,PINNIGnig,PINNIGnig,{F09BB889-85B5-4CC3-9070-7BD42C46A3D8},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1720639.7255,8294855.4289,1967,2017/02/02 15:27:53+00,mickael.delaere,Orthophoto,Quartier du Centre-Ville,Boulevard Roosevelt,57,0.0,0.0,0.0,ABATTU,,,,Alignement,,RAS,,0.0,,0.0,,RAS,mickael.delaere,2017/02/02 15:27:53+00,VILLE,RAS,RAS,{F395A625-8387-4597-9A56-CC17217B6D4A},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,,Non
1721138.8269,8294548.6691,480,2017/02/02 15:27:50+00,mickael.delaere,Orthophoto,Quartier Remicourt,Parc des Champs-Elysées,279,16.0,4.0,121.0,EN PLACE,adulte,semi libre,gazon,Alignement,Non,RAS,,50.0,10.0,0.0,,PLAACE,mickael.delaere,2017/05/12 09:26:58+00,VILLE,PLAACE,PLAACE,{084536BB-B12C-4A5E-87F5-FB7163C35416},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1718725.8446,8295546.8658,8638,2017/02/02 15:28:18+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Rue Paul-Emile Victor,74,8.0,2.5,112.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,15.0,2.0,,,PINNIGnig,mickael.delaere,2017/02/02 15:28:18+00,CASQ,PINNIGnig,PINNIGnig,{1B2F161D-443B-406A-9548-2D961C7CD84F},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1718580.1816,8295396.2052,8903,2017/02/02 15:28:18+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Serpentine Nord,31,8.0,3.0,71.0,EN PLACE,jeune,semi libre,gazon,Groupe,Non,RAS,,15.0,2.0,,,PRUAVI,mickael.delaere,2017/02/02 15:28:18+00,CASQ,PRUAVI,PRUAVI,{F5EE36D0-9FD0-4EFC-9B91-2ABF4E23808E},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1720396.8601,8291900.1565,11250,,,,,Bassin Ep parking Mairie,10,18.0,4.0,87.0,EN PLACE,jeune,libre,terre,Groupe, , ,,20.0,5.0,,,ROBPSE,,,CASQ,ROBPSE,ROBPSE,{5CD74CCE-9DB8-453F-B84A-8F43FBDC90B1},,,,,Feuillu,Non
1721001.5834,8295572.7484,4831,2017/02/02 15:28:05+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Avenue Robert Schuman,98,12.0,3.0,75.0,ABATTU,adulte,semi libre,Bande de terre,Groupe,Non,RAS,,30.0,10.0,0.0,,BETPEN,mickael.delaere,2017/05/12 09:34:26+00,VILLE,BETPEN,BETPEN,{E2F0AD62-F57B-4334-A86B-F45AB9F57376},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1722305.6425,8295436.6546,4021,2017/02/02 15:28:05+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Place de la Libération,2,15.0,4.0,95.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,30.0,10.0,0.0,,BETPEN,mickael.delaere,2017/02/02 15:28:05+00,VILLE,BETPEN,BETPEN,{38682289-7257-4B38-A953-9687E03F1EEF},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1717725.1762,8294125.2893,7437,2017/02/02 15:28:16+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Rue Maurice Allais,19,6.0,2.5,61.0,EN PLACE,jeune,semi libre,gazon,Alignement,Non,RAS,2008/01/01 00:00:00+00,,,,,ACEPLA,mickael.delaere,2017/02/02 15:28:16+00,CASQ,ACEPLA,ACEPLA,{B27D9BB4-0F1F-4547-B627-00173CCB94BF},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
